"filename", "language", "JavaScript JSX", "comment", "blank", "total"
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Palestinian.jsx", "JavaScript JSX", 1, 0, 2, 3
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Starvation.jsx", "JavaScript JSX", 1, 0, 1, 2
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Ukraine.jsx", "JavaScript JSX", 1, 0, 3, 4
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Water.jsx", "JavaScript JSX", 1, 0, 1, 2
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\News.jsx", "JavaScript JSX", 1, 0, 2, 3
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Statistic.jsx", "JavaScript JSX", 1, 0, 1, 2
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Yapping.jsx", "JavaScript JSX", 1, 0, 1, 2
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\Explore.jsx", "JavaScript JSX", 2, 0, 1, 3
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\Home.jsx", "JavaScript JSX", 11, 1, 4, 16
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\Ongoing.jsx", "JavaScript JSX", 6, 0, 1, 7
"Total", "-", 26, 1, 17, 44